Year,Ward Code,Ward Name,Ward Zone,Issue Type,Sub Issue,Total Complaints,Complaints Closed,Complaints Open Pending,Closure Rate Pct,Avg Days To Resolve,Citizen Charter Days,Days Exceeded Charter,Escalation Level Reached,Data Source
2017,H/E,Bandra East,Western Suburbs,Drainage,Overflow / Flooding,173,142,31,82.1,16,7,9,Level II,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,H/E,Bandra East,Western Suburbs,Drainage,Leaking Sewer Line,87,71,16,81.6,16,7,9,Level II,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,H/E,Bandra East,Western Suburbs,Solid Waste Mgmt,Garbage Not Lifted,141,121,20,85.8,6,3,3,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,H/E,Bandra East,Western Suburbs,Solid Waste Mgmt,Illegal Dumping / Debris,66,56,10,84.8,6,3,3,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,H/E,Bandra East,Western Suburbs,Solid Waste Mgmt,Waste Burning,28,24,4,85.7,6,3,3,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,H/E,Bandra East,Western Suburbs,Water Supply,Shortage of Water,152,134,18,88.2,9,7,2,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,H/E,Bandra East,Western Suburbs,Water Supply,Water Contamination,48,43,5,89.6,9,7,2,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,H/E,Bandra East,Western Suburbs,Water Supply,Leaking Water Pipeline,100,88,12,88.0,9,7,2,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,H/E,Bandra East,Western Suburbs,Water Supply,Unauthorised Water Tapping,45,40,5,88.9,9,7,2,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,H/E,Bandra East,Western Suburbs,Air Pollution,Construction Dust / Debris,13,11,2,84.6,14,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,H/E,Bandra East,Western Suburbs,Air Pollution,Industrial Smoke / Emissions,11,9,2,81.8,14,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,H/E,Bandra East,Western Suburbs,Street Lights,Street Light Not Working,137,129,8,94.2,4,3,1,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,H/E,Bandra East,Western Suburbs,Trees,Tree Trimming Required,40,35,5,87.5,8,1,7,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,H/E,Bandra East,Western Suburbs,Trees,Fallen / Dangerous Tree,17,15,2,88.2,8,1,7,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,H/E,Bandra East,Western Suburbs,Buildings,Illegal Construction,42,27,15,64.3,31,30,1,Level III,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,H/E,Bandra East,Western Suburbs,Toilets / Sanitation,Public Toilet Not Functional,36,31,5,86.1,5,3,2,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,H/W,Bandra West / Khar,Western Suburbs,Roads,Bad Patches / Potholes,752,655,97,87.1,14,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,H/W,Bandra West / Khar,Western Suburbs,Roads,Resurfacing of Road,303,264,39,87.1,14,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,H/W,Bandra West / Khar,Western Suburbs,Roads,Broken Footpath,158,137,21,86.7,14,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,H/W,Bandra West / Khar,Western Suburbs,Drainage,Drainage Choke / Blockage,268,220,48,82.1,16,7,9,Level II,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,H/W,Bandra West / Khar,Western Suburbs,Drainage,Overflow / Flooding,146,120,26,82.2,16,7,9,Level II,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,H/W,Bandra West / Khar,Western Suburbs,Drainage,Leaking Sewer Line,73,60,13,82.2,16,7,9,Level II,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,H/W,Bandra West / Khar,Western Suburbs,Solid Waste Mgmt,Garbage Not Lifted,119,102,17,85.7,6,3,3,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,H/W,Bandra West / Khar,Western Suburbs,Solid Waste Mgmt,Illegal Dumping / Debris,56,47,9,83.9,6,3,3,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,H/W,Bandra West / Khar,Western Suburbs,Solid Waste Mgmt,Waste Burning,24,20,4,83.3,6,3,3,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,H/W,Bandra West / Khar,Western Suburbs,Water Supply,Shortage of Water,128,113,15,88.3,9,7,2,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,H/W,Bandra West / Khar,Western Suburbs,Water Supply,Water Contamination,41,36,5,87.8,9,7,2,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,H/W,Bandra West / Khar,Western Suburbs,Water Supply,Leaking Water Pipeline,84,74,10,88.1,9,7,2,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,H/W,Bandra West / Khar,Western Suburbs,Water Supply,Unauthorised Water Tapping,38,33,5,86.8,9,7,2,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,H/W,Bandra West / Khar,Western Suburbs,Air Pollution,Construction Dust / Debris,11,10,1,90.9,14,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,H/W,Bandra West / Khar,Western Suburbs,Air Pollution,Industrial Smoke / Emissions,9,8,1,88.9,14,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,H/W,Bandra West / Khar,Western Suburbs,Street Lights,Street Light Not Working,115,109,6,94.8,4,3,1,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,H/W,Bandra West / Khar,Western Suburbs,Trees,Tree Trimming Required,34,29,5,85.3,8,1,7,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,H/W,Bandra West / Khar,Western Suburbs,Trees,Fallen / Dangerous Tree,14,12,2,85.7,8,1,7,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,H/W,Bandra West / Khar,Western Suburbs,Buildings,Illegal Construction,35,22,13,62.9,31,30,1,Level III,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,H/W,Bandra West / Khar,Western Suburbs,Toilets / Sanitation,Public Toilet Not Functional,30,26,4,86.7,5,3,2,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,K/E,Andheri East / Kurla West,Western Suburbs,Roads,Bad Patches / Potholes,1528,1330,198,87.0,14,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,K/E,Andheri East / Kurla West,Western Suburbs,Roads,Resurfacing of Road,616,536,80,87.0,14,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,K/E,Andheri East / Kurla West,Western Suburbs,Roads,Broken Footpath,320,279,41,87.2,14,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,K/E,Andheri East / Kurla West,Western Suburbs,Drainage,Drainage Choke / Blockage,543,447,96,82.3,16,7,9,Level II,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,K/E,Andheri East / Kurla West,Western Suburbs,Drainage,Overflow / Flooding,296,244,52,82.4,16,7,9,Level II,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,K/E,Andheri East / Kurla West,Western Suburbs,Drainage,Leaking Sewer Line,148,122,26,82.4,16,7,9,Level II,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,K/E,Andheri East / Kurla West,Western Suburbs,Solid Waste Mgmt,Garbage Not Lifted,242,207,35,85.5,6,3,3,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,K/E,Andheri East / Kurla West,Western Suburbs,Solid Waste Mgmt,Illegal Dumping / Debris,113,96,17,85.0,6,3,3,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,K/E,Andheri East / Kurla West,Western Suburbs,Solid Waste Mgmt,Waste Burning,48,41,7,85.4,6,3,3,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,K/E,Andheri East / Kurla West,Western Suburbs,Water Supply,Shortage of Water,260,229,31,88.1,9,7,2,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,K/E,Andheri East / Kurla West,Western Suburbs,Water Supply,Water Contamination,83,73,10,88.0,9,7,2,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,K/E,Andheri East / Kurla West,Western Suburbs,Water Supply,Leaking Water Pipeline,172,151,21,87.8,9,7,2,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,K/E,Andheri East / Kurla West,Western Suburbs,Water Supply,Unauthorised Water Tapping,77,68,9,88.3,9,7,2,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,K/E,Andheri East / Kurla West,Western Suburbs,Air Pollution,Construction Dust / Debris,22,19,3,86.4,14,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,K/E,Andheri East / Kurla West,Western Suburbs,Air Pollution,Industrial Smoke / Emissions,18,16,2,88.9,14,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,K/E,Andheri East / Kurla West,Western Suburbs,Street Lights,Street Light Not Working,234,221,13,94.4,4,3,1,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,K/E,Andheri East / Kurla West,Western Suburbs,Trees,Tree Trimming Required,68,59,9,86.8,8,1,7,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,K/E,Andheri East / Kurla West,Western Suburbs,Trees,Fallen / Dangerous Tree,29,25,4,86.2,8,1,7,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,K/E,Andheri East / Kurla West,Western Suburbs,Buildings,Illegal Construction,72,46,26,63.9,31,30,1,Level III,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,K/E,Andheri East / Kurla West,Western Suburbs,Toilets / Sanitation,Public Toilet Not Functional,62,53,9,85.5,5,3,2,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,K/W,Andheri West / Versova,Western Suburbs,Roads,Bad Patches / Potholes,1293,1125,168,87.0,14,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,K/W,Andheri West / Versova,Western Suburbs,Roads,Resurfacing of Road,521,454,67,87.1,14,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,K/W,Andheri West / Versova,Western Suburbs,Roads,Broken Footpath,271,236,35,87.1,14,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,K/W,Andheri West / Versova,Western Suburbs,Drainage,Drainage Choke / Blockage,460,378,82,82.2,16,7,9,Level II,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,K/W,Andheri West / Versova,Western Suburbs,Drainage,Overflow / Flooding,251,206,45,82.1,16,7,9,Level II,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,K/W,Andheri West / Versova,Western Suburbs,Drainage,Leaking Sewer Line,125,103,22,82.4,16,7,9,Level II,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,K/W,Andheri West / Versova,Western Suburbs,Solid Waste Mgmt,Garbage Not Lifted,205,175,30,85.4,6,3,3,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,K/W,Andheri West / Versova,Western Suburbs,Solid Waste Mgmt,Illegal Dumping / Debris,95,82,13,86.3,6,3,3,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,K/W,Andheri West / Versova,Western Suburbs,Solid Waste Mgmt,Waste Burning,41,35,6,85.4,6,3,3,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,K/W,Andheri West / Versova,Western Suburbs,Water Supply,Shortage of Water,220,194,26,88.2,9,7,2,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,K/W,Andheri West / Versova,Western Suburbs,Water Supply,Water Contamination,70,62,8,88.6,9,7,2,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,K/W,Andheri West / Versova,Western Suburbs,Water Supply,Leaking Water Pipeline,145,128,17,88.3,9,7,2,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,K/W,Andheri West / Versova,Western Suburbs,Water Supply,Unauthorised Water Tapping,65,57,8,87.7,9,7,2,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,K/W,Andheri West / Versova,Western Suburbs,Air Pollution,Construction Dust / Debris,19,16,3,84.2,14,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,K/W,Andheri West / Versova,Western Suburbs,Air Pollution,Industrial Smoke / Emissions,15,13,2,86.7,14,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,K/W,Andheri West / Versova,Western Suburbs,Street Lights,Street Light Not Working,198,187,11,94.4,4,3,1,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,K/W,Andheri West / Versova,Western Suburbs,Trees,Tree Trimming Required,58,50,8,86.2,8,1,7,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,K/W,Andheri West / Versova,Western Suburbs,Trees,Fallen / Dangerous Tree,25,21,4,84.0,8,1,7,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,K/W,Andheri West / Versova,Western Suburbs,Buildings,Illegal Construction,60,38,22,63.3,31,30,1,Level III,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,K/W,Andheri West / Versova,Western Suburbs,Toilets / Sanitation,Public Toilet Not Functional,52,45,7,86.5,5,3,2,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,L,Kurla / Tilak Nagar,Western Suburbs,Roads,Bad Patches / Potholes,1692,1473,219,87.1,14,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,L,Kurla / Tilak Nagar,Western Suburbs,Roads,Resurfacing of Road,682,594,88,87.1,14,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,L,Kurla / Tilak Nagar,Western Suburbs,Roads,Broken Footpath,355,309,46,87.0,14,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,L,Kurla / Tilak Nagar,Western Suburbs,Drainage,Drainage Choke / Blockage,602,495,107,82.2,16,7,9,Level II,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,L,Kurla / Tilak Nagar,Western Suburbs,Drainage,Overflow / Flooding,328,270,58,82.3,16,7,9,Level II,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,L,Kurla / Tilak Nagar,Western Suburbs,Drainage,Leaking Sewer Line,164,135,29,82.3,16,7,9,Level II,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,L,Kurla / Tilak Nagar,Western Suburbs,Solid Waste Mgmt,Garbage Not Lifted,268,229,39,85.4,6,3,3,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,L,Kurla / Tilak Nagar,Western Suburbs,Solid Waste Mgmt,Illegal Dumping / Debris,125,107,18,85.6,6,3,3,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,L,Kurla / Tilak Nagar,Western Suburbs,Solid Waste Mgmt,Waste Burning,54,46,8,85.2,6,3,3,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,L,Kurla / Tilak Nagar,Western Suburbs,Water Supply,Shortage of Water,288,253,35,87.8,9,7,2,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,L,Kurla / Tilak Nagar,Western Suburbs,Water Supply,Water Contamination,92,81,11,88.0,9,7,2,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,L,Kurla / Tilak Nagar,Western Suburbs,Water Supply,Leaking Water Pipeline,190,167,23,87.9,9,7,2,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,L,Kurla / Tilak Nagar,Western Suburbs,Water Supply,Unauthorised Water Tapping,85,75,10,88.2,9,7,2,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,L,Kurla / Tilak Nagar,Western Suburbs,Air Pollution,Construction Dust / Debris,25,21,4,84.0,14,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,L,Kurla / Tilak Nagar,Western Suburbs,Air Pollution,Industrial Smoke / Emissions,20,17,3,85.0,14,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,L,Kurla / Tilak Nagar,Western Suburbs,Street Lights,Street Light Not Working,259,245,14,94.6,4,3,1,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,L,Kurla / Tilak Nagar,Western Suburbs,Trees,Tree Trimming Required,76,66,10,86.8,8,1,7,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,L,Kurla / Tilak Nagar,Western Suburbs,Trees,Fallen / Dangerous Tree,32,28,4,87.5,8,1,7,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,L,Kurla / Tilak Nagar,Western Suburbs,Buildings,Illegal Construction,79,50,29,63.3,31,30,1,Level III,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,L,Kurla / Tilak Nagar,Western Suburbs,Toilets / Sanitation,Public Toilet Not Functional,68,59,9,86.8,5,3,2,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,M/E,Chembur East / Govandi,Eastern Suburbs,Roads,Bad Patches / Potholes,1128,982,146,87.1,14,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,M/E,Chembur East / Govandi,Eastern Suburbs,Roads,Resurfacing of Road,455,396,59,87.0,14,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,M/E,Chembur East / Govandi,Eastern Suburbs,Roads,Broken Footpath,237,206,31,86.9,14,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,M/E,Chembur East / Govandi,Eastern Suburbs,Drainage,Drainage Choke / Blockage,401,330,71,82.3,16,7,9,Level II,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,M/E,Chembur East / Govandi,Eastern Suburbs,Drainage,Overflow / Flooding,219,180,39,82.2,16,7,9,Level II,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,M/E,Chembur East / Govandi,Eastern Suburbs,Drainage,Leaking Sewer Line,109,90,19,82.6,16,7,9,Level II,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,M/E,Chembur East / Govandi,Eastern Suburbs,Solid Waste Mgmt,Garbage Not Lifted,179,153,26,85.5,6,3,3,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,M/E,Chembur East / Govandi,Eastern Suburbs,Solid Waste Mgmt,Illegal Dumping / Debris,83,71,12,85.5,6,3,3,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,M/E,Chembur East / Govandi,Eastern Suburbs,Solid Waste Mgmt,Waste Burning,36,31,5,86.1,6,3,3,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,M/E,Chembur East / Govandi,Eastern Suburbs,Water Supply,Shortage of Water,192,169,23,88.0,9,7,2,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,M/E,Chembur East / Govandi,Eastern Suburbs,Water Supply,Water Contamination,61,54,7,88.5,9,7,2,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,M/E,Chembur East / Govandi,Eastern Suburbs,Water Supply,Leaking Water Pipeline,127,111,16,87.4,9,7,2,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,M/E,Chembur East / Govandi,Eastern Suburbs,Water Supply,Unauthorised Water Tapping,57,50,7,87.7,9,7,2,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,M/E,Chembur East / Govandi,Eastern Suburbs,Air Pollution,Construction Dust / Debris,16,14,2,87.5,14,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,M/E,Chembur East / Govandi,Eastern Suburbs,Air Pollution,Industrial Smoke / Emissions,13,12,1,92.3,14,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,M/E,Chembur East / Govandi,Eastern Suburbs,Street Lights,Street Light Not Working,173,163,10,94.2,4,3,1,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,M/E,Chembur East / Govandi,Eastern Suburbs,Trees,Tree Trimming Required,50,44,6,88.0,8,1,7,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,M/E,Chembur East / Govandi,Eastern Suburbs,Trees,Fallen / Dangerous Tree,22,19,3,86.4,8,1,7,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,M/E,Chembur East / Govandi,Eastern Suburbs,Buildings,Illegal Construction,53,34,19,64.2,31,30,1,Level III,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,M/E,Chembur East / Govandi,Eastern Suburbs,Toilets / Sanitation,Public Toilet Not Functional,46,39,7,84.8,5,3,2,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,M/W,Chembur West,Eastern Suburbs,Roads,Bad Patches / Potholes,705,614,91,87.1,14,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,M/W,Chembur West,Eastern Suburbs,Roads,Resurfacing of Road,284,248,36,87.3,14,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,M/W,Chembur West,Eastern Suburbs,Roads,Broken Footpath,148,129,19,87.2,14,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,M/W,Chembur West,Eastern Suburbs,Drainage,Drainage Choke / Blockage,251,206,45,82.1,16,7,9,Level II,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,M/W,Chembur West,Eastern Suburbs,Drainage,Overflow / Flooding,137,112,25,81.8,16,7,9,Level II,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,M/W,Chembur West,Eastern Suburbs,Drainage,Leaking Sewer Line,68,56,12,82.4,16,7,9,Level II,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,M/W,Chembur West,Eastern Suburbs,Solid Waste Mgmt,Garbage Not Lifted,112,95,17,84.8,6,3,3,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,M/W,Chembur West,Eastern Suburbs,Solid Waste Mgmt,Illegal Dumping / Debris,52,45,7,86.5,6,3,3,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,M/W,Chembur West,Eastern Suburbs,Solid Waste Mgmt,Waste Burning,22,19,3,86.4,6,3,3,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,M/W,Chembur West,Eastern Suburbs,Water Supply,Shortage of Water,120,106,14,88.3,9,7,2,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,M/W,Chembur West,Eastern Suburbs,Water Supply,Water Contamination,38,34,4,89.5,9,7,2,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,M/W,Chembur West,Eastern Suburbs,Water Supply,Leaking Water Pipeline,79,70,9,88.6,9,7,2,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,M/W,Chembur West,Eastern Suburbs,Water Supply,Unauthorised Water Tapping,35,31,4,88.6,9,7,2,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,M/W,Chembur West,Eastern Suburbs,Air Pollution,Construction Dust / Debris,10,9,1,90.0,14,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,M/W,Chembur West,Eastern Suburbs,Air Pollution,Industrial Smoke / Emissions,8,7,1,87.5,14,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,M/W,Chembur West,Eastern Suburbs,Street Lights,Street Light Not Working,108,102,6,94.4,4,3,1,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,M/W,Chembur West,Eastern Suburbs,Trees,Tree Trimming Required,31,27,4,87.1,8,1,7,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,M/W,Chembur West,Eastern Suburbs,Trees,Fallen / Dangerous Tree,14,12,2,85.7,8,1,7,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,M/W,Chembur West,Eastern Suburbs,Buildings,Illegal Construction,33,21,12,63.6,31,30,1,Level III,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,M/W,Chembur West,Eastern Suburbs,Toilets / Sanitation,Public Toilet Not Functional,28,25,3,89.3,5,3,2,Level 0 (Resolved in time),Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,N,Ghatkopar East & West,Eastern Suburbs,Roads,Bad Patches / Potholes,1058,921,137,87.1,14,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,N,Ghatkopar East & West,Eastern Suburbs,Roads,Resurfacing of Road,426,371,55,87.1,14,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,N,Ghatkopar East & West,Eastern Suburbs,Roads,Broken Footpath,222,193,29,86.9,14,15,0,Level I,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
2017,N,Ghatkopar East & West,Eastern Suburbs,Drainage,Drainage Choke / Blockage,376,309,67,82.2,16,7,9,Level II,Praja Foundation - Civic Issues Mumbai 2018 (RTI from CCRS)
